年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
2002/10,194.0,19.0,22.6,15.5,29.4,9.1
2002/11,27.5,11.6,15.2,8.2,20.4,4.8
2002/12,94.5,7.2,10.4,4.1,18.7,0.0
2003/1,101.0,5.5,9.3,2.0,13.8,-0.8
2003/2,53.5,6.4,9.9,3.2,14.5,0.9
2003/3,159.5,8.7,12.7,5.1,20.4,1.1
2003/4,121.0,15.1,19.2,11.5,27.9,5.6
2003/5,172.5,18.8,22.4,15.5,26.9,10.5
2003/6,85.0,23.2,26.6,20.2,33.3,16.4
2003/7,187.5,22.8,26.0,20.1,31.9,17.7
2003/8,370.0,26.0,29.5,23.1,34.3,18.4
2003/9,150.0,24.2,28.1,21.0,34.3,13.9
2003/10,171.5,17.8,21.4,14.6,28.7,12.1
2003/11,229.5,14.4,17.4,11.5,24.8,7.3
2003/12,53.0,9.2,13.2,5.7,19.0,0.7
2004/1,3.5,6.3,10.1,3.1,14.2,0.2
2004/2,20.0,8.5,12.9,4.3,21.6,0.2
2004/3,129.5,9.8,14.0,5.7,21.9,1.6
2004/4,69.5,16.4,21.3,11.7,28.9,3.1
2004/5,149.0,19.6,23.7,16.1,31.7,10.5
2004/6,112.5,23.7,27.5,20.3,32.3,16.3
2004/7,23.5,28.5,33.1,25.0,39.5,19.1
2004/8,79.5,27.2,31.0,24.1,36.5,18.1
2004/9,195.0,25.1,28.7,22.2,33.6,18.4
2004/10,780.0,17.5,20.7,14.8,28.2,8.6
2004/11,108.5,15.6,19.0,12.7,23.2,8.3
2004/12,79.5,9.9,13.4,6.6,24.8,0.2
2005/1,77.0,6.1,10.0,2.6,18.5,-0.8
2005/2,48.0,6.2,9.9,2.5,19.4,-0.3
2005/3,71.0,9.0,13.1,5.0,19.3,0.5
2005/4,81.0,15.1,19.6,10.7,28.1,4.6
2005/5,180.5,17.7,21.9,14.1,27.2,9.3
2005/6,170.5,23.2,26.7,20.2,36.2,16.2
2005/7,247.5,25.6,29.1,22.6,35.6,18.5
2005/8,189.5,28.1,31.8,25.1,35.8,21.9
2005/9,177.5,24.7,28.2,21.8,33.1,16.9
2005/10,201.5,19.2,22.3,16.6,31.7,12.7
2005/11,34.5,13.3,17.0,9.6,24.1,5.2
2005/12,3.5,6.4,10.2,2.9,15.9,-0.8
2006/1,67.0,5.1,8.5,2.0,14.7,-1.1
2006/2,113.0,6.7,10.5,3.3,19.9,-1.5
2006/3,79.5,9.8,14.0,5.9,19.0,1.5
