年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1998/6,88.0,20.4,23.8,17.8,27.8,13.3
1998/7,112.0,25.5,29.8,22.3,35.8,17.4
1998/8,616.0,25.1,28.3,22.5,33.2,18.8
1998/9,138.5,23.8,27.4,20.8,32.1,17.8
1998/10,216.5,18.3,22.1,14.6,28.4,6.2
1998/11,243.5,10.3,14.7,6.6,22.8,0.3
1998/12,160.5,6.3,9.5,3.1,14.0,-0.5
1999/1,143.0,3.1,6.2,0.5,11.4,-2.5
1999/2,135.5,2.6,6.1,-0.8,14.5,-4.9
1999/3,105.0,6.7,11.3,2.7,21.8,-2.3
1999/4,81.0,12.0,16.5,7.9,23.7,2.3
1999/5,63.5,16.8,21.6,12.4,27.3,7.1
1999/6,215.5,20.8,24.7,17.7,30.6,13.0
1999/7,133.5,25.2,29.0,22.2,35.5,18.0
1999/8,167.0,28.3,32.8,24.8,38.2,20.6
1999/9,242.5,24.1,27.6,20.8,33.4,15.0
1999/10,151.0,17.1,21.0,13.4,32.4,6.4
1999/11,267.5,11.3,15.3,7.6,19.5,0.7
1999/12,258.5,5.3,8.6,2.4,13.7,-0.9
2000/1,187.0,4.4,7.4,1.8,12.3,-2.0
2000/2,130.5,2.2,5.4,-0.2,9.9,-2.8
2000/3,89.0,5.4,9.6,1.5,17.7,-1.5
2000/4,86.5,11.4,15.6,7.6,22.5,2.7
2000/5,62.0,17.2,21.7,13.8,28.6,8.7
2000/6,130.0,20.8,24.7,17.6,30.9,12.6
2000/7,175.5,26.0,30.0,22.8,36.9,19.0
2000/8,11.5,28.2,32.9,24.7,37.3,22.9
2000/9,284.0,23.7,27.7,20.3,36.7,13.7
2000/10,137.0,16.5,20.2,12.9,25.9,7.3
2000/11,195.0,10.9,14.7,7.2,23.3,1.1
2000/12,153.0,5.1,8.7,1.9,15.0,-1.4
2001/1,210.5,1.5,3.7,-0.6,8.8,-3.8
2001/2,165.0,2.1,5.4,-0.7,13.2,-3.9
2001/3,115.5,5.9,10.1,2.1,19.9,-2.0
2001/4,33.0,12.0,17.8,7.1,26.5,1.7
2001/5,40.0,18.3,23.5,14.5,30.3,10.2
2001/6,279.5,20.8,24.6,17.9,32.6,14.3
2001/7,28.0,26.5,31.3,23.0,35.4,17.6
2001/8,135.5,26.5,31.3,23.1,35.4,19.5
2001/9,192.5,22.1,26.3,18.7,34.3,10.0
2001/10,84.0,16.9,20.9,13.2,25.2,8.5
2001/11,208.5,10.3,14.4,6.7,19.9,2.0
2001/12,216.0,4.7,7.8,1.9,13.3,-0.9
2002/1,385.0,3.8,6.6,1.3,13.1,-2.0
2002/2,81.0,4.3,7.8,1.3,12.4,-2.2
2002/3,135.5,7.7,12.5,3.6,20.0,-1.4
2002/4,77.0,13.9,18.7,9.7,28.5,3.9
2002/5,103.0,16.3,20.5,12.9,27.9,8.3
2002/6,70.0,20.9,25.3,17.2,31.2,13.8
2002/7,386.5,25.6,29.7,22.7,35.8,19.9
2002/8,128.0,26.9,31.2,23.8,37.0,17.1
2002/9,87.0,22.3,26.4,18.9,37.0,12.0
2002/10,254.0,16.5,20.6,13.0,27.2,5.4
2002/11,405.0,7.4,10.9,4.1,16.4,-0.1
2002/12,171.0,4.2,7.2,1.8,14.6,-2.0
2003/1,173.0,2.3,5.2,-0.4,11.9,-2.9
2003/2,47.0,3.5,6.9,0.5,13.1,-4.2
2003/3,106.5,5.5,9.7,2.1,18.1,-2.2
2003/4,174.0,11.8,16.0,8.1,27.1,1.9
2003/5,66.5,17.4,22.5,13.4,31.2,6.3
2003/6,123.0,21.4,25.6,18.3,30.0,13.2
2003/7,248.0,22.0,25.6,19.6,30.1,16.0
2003/8,182.5,24.9,28.4,22.2,33.9,17.8
2003/9,73.5,22.3,26.2,19.2,37.1,12.4
2003/10,153.5,15.8,0.0,11.8,0.0,7.4
2003/11,164.0,12.1,15.8,8.6,24.5,1.9
2003/12,176.5,6.8,9.9,4.0,14.8,-0.5
2004/1,203.0,3.0,5.8,0.8,10.2,-2.3
2004/2,110.0,4.5,8.4,1.0,21.3,-4.0
2004/3,84.0,6.4,11.2,2.5,24.4,-2.1
2004/4,111.5,12.0,17.1,7.4,25.3,0.9
2004/5,192.5,17.5,22.2,13.8,28.2,8.2
2004/6,132.5,21.5,25.5,18.1,34.7,12.8
2004/7,222.5,26.0,0.0,22.9,0.0,18.4
2004/8,178.0,26.0,30.3,22.6,36.2,18.2
2004/9,109.0,23.6,27.4,20.5,34.2,18.0
2004/10,237.5,16.5,20.1,13.2,26.8,6.2
2004/11,144.0,13.0,16.7,9.8,24.7,5.4
2004/12,193.0,6.8,10.1,3.6,17.7,0.0
2005/1,166.5,3.1,6.0,0.4,11.7,-2.1
2005/2,122.5,1.9,4.5,-0.4,8.2,-3.1
2005/3,141.5,5.0,8.9,1.6,14.5,-3.6
2005/4,53.0,11.7,16.5,7.3,25.7,0.4
2005/5,49.5,15.4,20.0,11.8,29.6,7.1
2005/6,169.5,22.4,26.5,19.2,32.9,14.4
2005/7,103.5,24.3,27.9,21.8,33.9,18.9
2005/8,193.0,27.1,31.0,24.0,35.0,20.6
2005/9,76.5,23.6,27.3,20.2,34.3,14.8
2005/10,212.5,17.5,21.1,14.1,27.5,7.9
2005/11,231.0,10.3,14.0,7.3,20.1,2.2
2005/12,294.0,2.7,5.4,0.6,11.3,-2.3
2006/1,84.5,1.9,4.5,-0.7,8.7,-4.7
2006/2,92.0,3.4,6.9,0.0,15.7,-4.5
2006/3,157.5,5.6,9.9,1.7,21.1,-2.2
2006/4,82.0,10.2,14.5,6.3,23.9,2.4
2006/5,132.0,16.5,21.1,12.9,30.9,5.9
2006/6,70.0,20.8,24.8,18.0,30.5,13.9
2006/7,466.0,23.3,26.5,21.1,31.9,18.2
2006/8,78.0,27.8,31.9,24.3,38.0,20.7
2006/9,92.0,22.1,25.8,18.5,33.1,13.3
2006/10,181.5,17.2,21.2,13.5,24.8,8.7
2006/11,253.0,11.3,15.1,7.9,23.0,3.2
2006/12,326.0,6.1,8.9,3.6,13.3,0.7
2007/1,104.5,4.9,7.9,2.3,11.8,-0.2
2007/2,72.0,5.1,8.9,1.7,14.7,-1.8
2007/3,131.5,6.0,10.0,2.6,18.6,-1.1
2007/4,83.5,10.8,14.5,7.2,24.5,2.8
2007/5,56.0,16.8,21.2,13.1,27.1,8.3
2007/6,229.0,21.3,24.9,18.4,28.8,14.1
2007/7,135.0,22.9,25.9,20.5,30.5,18.3
2007/8,286.5,27.0,30.9,23.4,36.5,19.0
